SACC_code,Country,Year,NOM
1601,Adelie Land,2023-24(e),0.0
7201,Afghanistan,2023-24(e),10150.0
2408,Aland Islands,2023-24(e),0.0
3201,Albania,2023-24(e),80.0
4101,Algeria,2023-24(e),80.0
3101,Andorra,2023-24(e),0.0
9201,Angola,2023-24(e),10.0
8401,Anguilla,2023-24(e),0.0
8402,Antigua/Barbuda,2023-24(e),0.0
8201,Argentina,2023-24(e),3260.0
1602,Argentinian A T,2023-24(e),0.0
7202,Armenia,2023-24(e),40.0
8403,Aruba,2023-24(e),0.0
1199,"Aust E T, nec",2023-24(e),0.0
1101,Australia,2023-24(e),-21540.0
1603,Australian A T,2023-24(e),0.0
2301,Austria,2023-24(e),60.0
7203,Azerbaijan,2023-24(e),50.0
8404,Bahamas,2023-24(e),10.0
4201,Bahrain,2023-24(e),150.0
7101,Bangladesh,2023-24(e),9870.0
8405,Barbados,2023-24(e),10.0
3301,Belarus,2023-24(e),50.0
2302,Belgium,2023-24(e),330.0
8301,Belize,2023-24(e),0.0
9101,Benin,2023-24(e),0.0
8101,Bermuda,2023-24(e),10.0
7102,Bhutan,2023-24(e),9670.0
8202,Bolivia,2023-24(e),70.0
8433,Bonaire/SE/Saba,2023-24(e),0.0
3202,Bosnia and Herz.,2023-24(e),-120.0
9202,Botswana,2023-24(e),150.0
8203,Brazil,2023-24(e),6600.0
1604,United Kingdom,2023-24(e),0.0
5201,Brunei Darussalam,2023-24(e),150.0
3203,Bulgaria,2023-24(e),20.0
9102,Burkina Faso,2023-24(e),0.0
9203,Burundi,2023-24(e),260.0
9104,Cabo Verde,2023-24(e),0.0
5102,Cambodia,2023-24(e),1840.0
9103,Cameroon,2023-24(e),90.0
8102,Canada,2023-24(e),1970.0
8406,Cayman Islands,2023-24(e),10.0
9105,Central African Rep.,2023-24(e),100.0
9106,Chad,2023-24(e),30.0
8204,Chile,2023-24(e),2430.0
1605,Chile,2023-24(e),0.0
6101,China,2023-24(e),49720.0
8205,Colombia,2023-24(e),7780.0
9204,Comoros,2023-24(e),0.0
9108,Congo,2023-24(e),1300.0
9107,Dem. Rep. Congo,2023-24(e),60.0
1501,Cook Islands,2023-24(e),140.0
8302,Costa Rica,2023-24(e),20.0
9111,Côte d'Ivoire,2023-24(e),10.0
3204,Croatia,2023-24(e),-160.0
8407,Cuba,2023-24(e),40.0
8434,Curacao,2023-24(e),0.0
3205,Cyprus,2023-24(e),0.0
3302,Czechia,2023-24(e),80.0
2401,Denmark,2023-24(e),240.0
9205,Djibouti,2023-24(e),0.0
8408,Dominica,2023-24(e),0.0
8411,Dominican Rep.,2023-24(e),30.0
8206,Ecuador,2023-24(e),1410.0
4102,Egypt,2023-24(e),1300.0
8303,El Salvador,2023-24(e),40.0
9112,Eq. Guinea,2023-24(e),0.0
9206,Eritrea,2023-24(e),240.0
3303,Estonia,2023-24(e),320.0
9226,Eswatini,2023-24(e),10.0
9207,Ethiopia,2023-24(e),1000.0
8207,Falkland Is,2023-24(e),0.0
2402,Faroe Islands,2023-24(e),0.0
1502,Fiji,2023-24(e),5960.0
2403,Finland,2023-24(e),90.0
2303,France,2023-24(e),4380.0
8208,French Guiana,2023-24(e),10.0
1503,French Poly,2023-24(e),10.0
9113,Gabon,2023-24(e),0.0
9114,Gambia,2023-24(e),10.0
7204,Georgia,2023-24(e),70.0
2304,Germany,2023-24(e),1100.0
9115,Ghana,2023-24(e),970.0
3102,Gibraltar,2023-24(e),0.0
3207,Greece,2023-24(e),-200.0
2404,Greenland,2023-24(e),0.0
8412,Grenada,2023-24(e),10.0
8413,Guadeloupe,2023-24(e),0.0
1401,Guam,2023-24(e),0.0
8304,Guatemala,2023-24(e),60.0
9116,Guinea,2023-24(e),20.0
9117,Guinea-Bissau,2023-24(e),0.0
8211,Guyana,2023-24(e),10.0
8414,Haiti,2023-24(e),10.0
